Common name;Species for tree;Groupe/clade;Ordre;Family;Achat - obtention des graines;Reference;Génotype/ Lot;Poids;nombre de graines;PMG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
Carrot sauvage;Daucus carota;Campanulids;Apiales;Apiaceae;INRAe;Emmanuel Geoffriau;ACCFRAP0656, lot 707;5.000;3500.00;1.429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lin bleu;Linum usitatissimum;Malvids;Malpighiales;Linaceae;Graines Baumaux;1504;Sky Blue;5.000;3333.33;1.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saponaire officinalis;Saponaria officinalis;Superasterids (archaiques);Caryophyllales;Caryophyllaceae;Semences du Puy;;114016;5.000;3000;1.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pavot de californie;Eschscholzia californica;Eudicots;Ranunculales;Papaveraceae;La Ferme de Sainte Marthe;1889A;22-07011;6.771;4000;1.693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phacélie;Phacelia tanacetifolia;Lamids;Lamiales;Boraginaceae;La Ferme de Sainte Marthe; 2384A;21-03017;50.000;25000;2.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thé des jardins;Dracocephalum moldavica;Lamids;Lamiales;Lamiaceae;La Ferme de Sainte Marthe;1171A;20-11053;4.132;2000;2.066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stellaire;Stellaria holostea ;Superasterids (archaiques);Caryophyllales;Caryophyllaceae;Semences du Puy;;114266;5.000;2400;2.083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luzerne;Medicago sativa;Fabids;Fabales;Fabaceae;La Ferme de Sainte Marthe;2303A;23-08117;150.000;71428;2.100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aster de Chine/reine marguerite;Callistephus chinensis;Campanulids;Asterales;Asteraceae;Graines Baumaux;3248;Bouquet Blanc;5.000;2166.67;2.308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Persil;Petroselinum crispum;Campanulids;Apiales;Apiaceae;Semences du Puy;;113220;5.000;2000;2.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pied d’alouette;Delphinium ajacis;Eudicots;Ranunculales;Ranunculaceae;Graines Baumaux;31661;Consolida Imperial Pink Queen;5.000;2000.00;2.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tomato;Solanum lycopersicum;Lamids;Solanales;Solanaceae;INRAe;Jerome Verdier;;5.000;1875.00;2.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euphorbe réveil matin;Euphorbia helioscopia;Malvids;Malpighiales;Euphorbiaceae;Semences du Puy;;118057;5.000;1800;2.778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cresson alenois;Lepidium sativum;Malvids;Brassicales;Brassicaceae;La Ferme de Sainte Marthe;1180A;115972;5.713;2000;2.857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nigelle;Nigella damascena;Eudicots;Ranunculales;Ranunculaceae;La Ferme de Sainte Marthe;1666A;Nigelle de Damas double variée, 23-11028;8.650;3000;2.883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quinoa;Chenopodium quinoa;Superasterids (archaiques);Caryophyllales;Amaranthaceae;La Ferme de Sainte Marthe;2123A;18-11035;5.232;1800;2.907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fumeterre;Fumaria officinalis;Eudicots;Ranunculales;Papaveraceae;Semences du Puy;;Aguadulce à très longue cosse, 23-12000;5.000;1665;3.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rapeseed;Brassica napus;Malvids;Brassicales;Brassicaceae;INRAe, pépi;Semences Emersys;Boston, NAVIG_339;5.000;1515.15;3.300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brachypodium;Brachypodium distachyon;Monocot;Poales;Poaceae;INRAe;Richard Sibout;BD21.3;7.324;2092;3.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sauge annuelle;Salvia splendens;Lamids;Lamiales;Lamiaceae;Graines Baumaux;3394;Sauge Splendens Fire Star;5.000;1400.00;3.571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Petunia;Petunia grandiflora;Lamids;Solanales;Solanaceae;Graines Baumaux; 3115P;Grandiflora F1 Successir 360° Bleu Fonce;5.000;200.00;2.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malope;Malope trifida;Malvids;Malvales;Malvaceae;Biau germe;FMA011;23ON18;5.930;1416.00;4.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viperine;Echium ;Lamids;Lamiales;Boraginaceae;La Ferme de Sainte Marthe;1955A;21-12007;3.789;900;4.210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anis vert;Pimpinella anisum;Campanulids;Apiales;Apiaceae;La Ferme de Sainte Marthe;1552A;24-01056;10.012;2250;4.450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lysimaque vulgaire;Lysimachia vulgaris;Asterids;Ericales;Primulaceae;Semences du Puy;;113606;5.000;1100;4.545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Godetia;Clarkia amoena;Malvids;Myrtales;Onagraceae;La Ferme de Sainte Marthe;2264N;Rembrant, 21-08005;4.695;1000;4.695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geranium à feuille découpée;Geranium dissectum;Malvids;Geraniales;Geraniaceae;Semences du Puy;;113628;5.000;1000;5.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onagre;Oenothera biennis;Malvids;Myrtales;Onagraceae;Graines Baumaux;5697;Jambon du jardinier;5.000;1000.00;5.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bell pepper;Capsicum annuum ;Lamids;Solanales;Solanaceae;Graines Baumaux;6632;Bojanka;5.000;750.00;6.667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luzerne tronquée;Medicago truncatula;Fabids;Fabales;Fabaceae;INRAe;Béatrice Teulat, IRHS;L000555;12.716;1870.00;6.800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moutarde;Sinapis alba;Malvids;Brassicales;Brassicaceae;Semences du Puy;;118205;500.000;71428;7.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lavatère;Lavatera trimestris;Malvids;Malvales;Malvaceae;La Ferme de Sainte Marthe;1896A;22-03020;7.317;1000;7.317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Souci;Calendula officinalis;Campanulids;Asterales;Asteraceae;Semences du Puy;;115143;5.000;625;8.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mauve de mauritanie ;Malva sylvestris ssp mauritiana;Malvids;Malvales;Malvaceae;La Ferme de Sainte Marthe;1835A;22-01036;8.593;1000;8.593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Balsamine des jardins;Impatiens balsamina;Asterids;Ericales;Balsaminaceae;Semences du Puy;;112870;5.000;500;10.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belle de jour;Convolvulus tricolor;Lamids;Solanales;Convolvulaceae;Graines Baumaux;2269P;Rose Enseign;10.000;1000.00;10.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coriandre;Coriandrum sativum;Campanulids;Apiales;Apiaceae;Semences du Puy;;PAPRH_1780;5.000;500;10.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Radish;Raphanus sativus;Malvids;Brassicales;Brassicaceae;INRAe, Vilmorin;Semences Emersys;Flamboyant 5, L04624;5.000;500.00;10.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Epinard;Spinacia oleracea;Superasterids (archaiques);Caryophyllales;Amaranthaceae;La Ferme de Sainte Marthe;1426AA;Géant d'hiver, 23-08088;6.877;500;13.754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bec de grue ;Erodium cicutarium;Malvids;Geraniales;Geraniaceae;Semences du Puy;;115214;5.000;250;20.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gourde mini calebasse;Lagenaria siceraria;Fabids;Cucurbitales;Cucurbitaceae;Graines Baumaux;88541P;Calebasse mini bouteille;10.000;500.00;20.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sarrasin;Fagopyrum esculentum;Superasterids (archaiques);Caryophyllales;Polygonaceae;La Ferme de Sainte Marthe;2317A;21-04035;150.000;7500;20.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bourrache Officiniale;Borago officinalis;Lamids;Lamiales;Boraginaceae;La Ferme de Sainte Marthe;1270A;22-03087;9.344;450;20.764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
